a,b,opcode,faulty_result,fault_type
303379748,3230228097,2,70656,0
2223298057,2985317987,0,913648748,0
112818957,1189058957,2,110696719,1
2999092325,2302104082,2,3238658048,1
15983361,114806029,4,103034380,0
992211318,512609597,1,479601721,0
1993627629,1177417612,4,821665889,0
2097015289,3812041926,0,1614106303,1
3807872197,3574846122,3,4160214767,0
1924134885,3151131255,0,780298844,0
2301810194,1206705039,0,3508253089,1
2033215986,3883308750,4,2655452988,0
4093672168,3804909253,1,288762915,0
777537884,3733858493,0,216429081,0
2527811629,2997298789,3,3064953453,1
2985255523,91457290,2,23204354,1
3225100928,274997536,0,3497993120,2
1433945514,3469528221,3,2549927103,1
3407888022,2307110931,4,1100777091,2
2260482061,2846348883,2,2158235649,0
899669355,3936758485,1,1257353886,1
2165787138,3612753582,1,2307984212,1
251652381,3888476879,4,3912929778,1
293882147,84501770,0,378375725,1
3849521866,2654030908,2,2217805832,0
2036907506,1160667530,3,1835990394,1
549761857,3964351704,3,3968841689,1
1008792440,3297383049,3,4255839097,1
1975848427,1526883766,3,2143514111,1
1665923526,1460999086,3,2002779118,0
3732210364,353361194,1,3378849170,0
2245499403,3096952433,4,1027613818,0
1123172741,670192975,3,1743934927,0
2647416891,486945594,0,3134362485,0
3206754942,178932501,0,3387764115,1
2027527153,1822182361,2,1754792849,1
824379234,641071948,2,539304768,1
1335973279,1203347855,4,135816720,1
2087561720,3687669943,3,4293782014,1
3485750943,2927465564,4,1639563971,0
2915811419,1155413897,3,3990878171,0
2762879561,3894623952,3,3970907897,1
3959341271,2831678545,4,1127824518,0
1260466070,102596364,4,1295798426,0
3777810114,1683484104,1,2239439626,2
3145882231,519236925,3,3220373375,0
151837458,3204776062,2,3205356414,2
921010541,484042553,1,436963888,1
265457439,3924555475,0,4190012914,0
1121529733,3155462264,2,17827842,1
769284443,613108553,2,613042505,0
2683481663,353152810,3,2684268351,0
739599192,3275700358,1,4013915102,2
3340373134,3459248796,4,2504654634,2
2100664826,2474490918,1,4189312468,1
966137715,3515593891,3,293737507,2
2543429679,3654455987,2,2442297443,1
2950190687,573115716,1,229591323,1
2079915511,3852154571,0,1637102786,0
4077460198,757652314,4,3726754236,0
349159721,4135772909,1,508337724,1
3981667546,2996811365,1,1051965045,1
3666535093,4022244575,1,3938996182,1
1022433657,573701956,2,540088640,0
3899919568,352914218,4,4252829690,0
1442229675,124768014,1,1385783973,2
1851633116,3445537946,2,1281141912,1
4276056829,3790668483,4,4294931199,2
722398550,662301006,1,2207581192,1
3017373287,2234594314,2,2148627458,1
1534048694,2618198584,4,3210817406,2
1020364665,3693855928,3,4244342777,1
1249165204,1237736851,4,62055175,1
2185178116,2897726041,3,2931813981,1
1842047451,2801589837,2,617105481,0
1823520729,3064211053,3,4273256445,0
3141919350,1698384330,0,8596800,1
1528245686,1251176853,0,2779422539,0
2735151686,41196292,4,2708701538,1
2077385207,882378601,2,814743905,0
3664689844,1140952456,3,3731863476,1
343726376,2526020653,2,336592936,0
3821351111,2539428910,2,2269122564,1
2222449672,239158556,0,2461739300,1
4272400125,345900841,0,323333670,0
2386006044,1127573382,1,3406178454,1
3979610330,2662843965,4,1938018023,0
860792678,3092628592,3,3143624566,0
3119842419,1567726010,2,426836018,0
792376158,2101836282,0,1383975588,2
1787692501,2368009754,3,4021221343,0
3706716345,461857079,2,4168573424,2
1260861334,1614356928,3,1799305174,0
321232678,3678804662,1,937395248,1
1050248061,1851723740,3,2901971801,2
1130452870,1006894968,4,2137172222,0
1062902654,3985473755,4,3537834917,1
3888363215,1022176121,2,616784457,1
4247315706,2965171809,0,1282143897,2
194251031,3505748129,2,983470198,2
1131909510,2825098832,0,3956942678,1
2056018421,2595522613,0,444860469,2
2493155881,1622242753,1,870913128,0
3806688453,3422663832,3,4008047837,0
632453963,3112977011,1,1277573337,1
4129482476,3310360202,3,4151506670,0
660132174,3561717928,1,1376604326,1
1419705769,3502935201,0,1351257249,2
118208782,4080297702,4,4097810408,1
3486957727,355448106,2,84312106,1
358227242,3333813389,3,3623878063,0
1333133214,2624448056,3,3741187006,1
3167725689,1684333512,0,1483392177,2
1696810442,167723283,1,1529087159,0
899729771,3820465863,2,564168771,0
1527504310,1560649146,0,3088153456,0
1645652932,1552061881,0,3196666237,1
1227871122,3659963060,3,3677346742,0
1069235071,3274936454,1,49204229,2
2104358394,4180120818,3,4251842042,1
423960882,3738066621,4,3347808143,0
1112526212,4064912612,3,1112114308,2
1698942922,1420327337,4,3119270259,2
3499468961,1197844878,2,1258662016,1
4253772539,2246385163,3,4293885689,1
4152529135,1690844617,4,2471144742,0
459334966,3132180597,1,1622121665,0
3353892495,902676331,3,4159045615,1
1147529096,3611276462,0,463838262,0
1307804059,1228817810,3,1342162331,1
340057896,2525290541,4,2865348437,2
632774475,3781800130,0,119607309,0
2401039902,112395533,0,2278554379,1
1987706348,201563416,1,1752580308,1
1756240849,3279297670,1,740571223,2
2696946753,2646565947,3,1031749754,2
1816459736,703588691,2,155576656,1
2870567510,2913739355,1,1489339569,2
4050057954,2188632580,1,1861425374,0
967574387,3964712152,4,2516383658,1
155077906,3691201720,1,763054174,1
2625704505,4068980453,2,2428572193,1
3502628001,361303851,3,3310146442,2
1083202945,1679525320,1,3715422009,1
330650919,1356200353,2,1351962913,1
2408345119,2183281156,0,296658979,0
741155672,3411837078,3,135004176,2
175018772,2300163090,2,134781456,1
3408031894,3635208881,0,2748273479,0
717411669,4140011245,3,4276346749,1
361442091,2058427381,4,2597982006,2
1454637997,2478907943,0,310379045,2
1112145796,3551061159,2,1107878020,1
4090996455,3706687673,4,792213086,0
2765772361,1843772379,4,3376410002,0
1689915337,679719249,1,1010196088,0
3502005921,356965674,1,3858971595,2
2099922426,2732990533,2,539101377,1
1101071747,3195355772,2,136382496,1
3108377714,4283383038,4,1175005324,0
3025531496,3084888687,2,3025511016,0
1128664454,2015568368,2,1073873280,0
477206328,544641344,2,141594881,1
2483648040,2064493046,3,4279107582,0
3804175045,1613246912,4,2182556421,1
979525492,484340025,2,406999344,0
3630852784,505186108,1,2991448948,1
354521898,824496994,0,891671402,2
183252245,4038151905,1,2587551252,1
199400727,2710302275,1,1784065748,0
1689641929,3275097222,4,2810439503,0
311937829,1626774977,1,2980130661,1
3332219533,2909266522,0,4026524383,2
64366343,375094060,0,439460403,0
101342476,3098404465,0,3199746941,0
2648800315,1533076918,0,4181877233,0
4225745655,3474247326,3,3684683519,1
2927122524,716765013,4,2227220233,0
2418686496,3490386592,3,4029234848,1
962595186,3661466804,4,3814557126,0
1854600669,2262626317,2,109637645,0
632330571,3167502969,4,2575227186,1
3479427742,4277167357,1,3462414492,2
3185627771,1206023055,4,98587147,2
2177079811,1908484579,2,4026708960,2
244466461,1492729265,4,1593540541,2
571580228,3399269525,3,3940401105,1
4028445920,4137777389,4,3871256013,2
695866706,2082364408,1,2910042459,1
1188870029,2841625682,2,6063104,0
1108993924,594214214,2,34137348,0
3325727372,1212710288,1,243470364,2
199934231,892166506,3,1072685439,0
1115379588,3579559082,4,1079710848,2
1047465852,2958164576,2,809632352,0
1565150650,3315687563,4,2544430383,2
3541958310,2458066469,1,1083891841,0
419791666,3506767010,1,1208123280,1
2760866889,2321854484,3,2934930525,1
2664022077,636617547,4,3107685238,1
2926063708,596669767,0,3522733475,0
1128175494,2628745785,3,3753902015,0
3657796276,1750197712,2,1208074384,1
2518831148,1182549388,1,3701380536,2
